,x,y
0,53762.88513513513,42276.2027027027
1,19947.480263157893,7731.8026315789475
2,56084.3355704698,35245.778523489935
3,60175.530201342284,45848.161073825504
4,50965.56756756757,23385.344594594593
5,43683.644295302016,34812.31543624161
6,37519.147651006715,43954.463087248325
7,7088.346666666666,11170.173333333334
8,30480.452702702703,45020.29054054054
9,23203.993243243243,44859.15540540541
10,57887.9,59083.573333333334
11,35449.288590604025,36581.42953020134
12,30374.615384615383,60211.92307692308
13,19659.246666666666,60383.73333333333
14,10207.33552631579,50195.21710526316
15,10474.013333333334,59840.45333333333
16,4725.371621621622,54020.82432432433
17,44173.43137254902,45702.8431372549
18,35958.42953020134,58005.63758389262
19,47111.77419354839,59097.116129032256
20,43207.48275862069,54928.66206896552
21,50913.339869281044,48696.470588235294
22,15858.673333333334,37826.78
23,5162.758389261745,42433.63758389262
24,9628.264900662252,38305.32450331126
25,13925.549668874171,43347.90066225165
26,40406.75816993464,29066.647058823528
27,60241.02,27570.373333333333
28,45385.98,26064.233333333334
29,9635.120805369128,29483.691275167785
30,59555.91390728477,51744.94701986755
31,4099.933774834437,23940.066225165563
32,35707.124183006534,49932.80392156863
33,17530.36,25319.5
34,26443.810126582277,56226.82278481012
35,25553.4,28055.646666666667
36,27143.02666666667,15512.886666666667
37,30135.60264900662,21236.953642384105
38,29681.073825503358,8824.422818791947
39,43257.4238410596,4639.569536423841
40,36211.37333333334,8492.88
41,54846.91891891892,13702.722972972973
42,39304.82666666667,17997.78
43,47896.25503355705,10099.845637583892
44,60166.59868421053,17976.526315789473
45,59645.78,8980.426666666666
46,10289.22,16705.626666666667
47,17023.304054054053,14150.155405405405
48,13268.852348993289,4454.704697986577
49,16837.326666666668,53850.44666666666
