,PC1,PC2,labels,center
0,-1.2756113607366417,0.06281129743825314,center1,center1
1,-0.29902591817267954,-0.3097456077512993,center2,center2
2,-1.8931270893040462,0.49004821657521713,center1,center1
3,1.0645383900000882,0.5566207480249464,center0,center0
4,1.8360975632792937,0.12545136499946574,center0,center0
5,1.7488208176376092,0.38861615406728955,center0,center0
6,-1.5589799918461722,-0.34907233481866484,center1,center1
7,1.6763641085565766,0.33295648655093624,center0,center0
8,0.7254923976443706,0.0441702836002349,center0,center0
9,-0.04774274378414578,0.2785764142891773,center2,center2
10,-0.14202101377465426,-0.4149589111783961,center2,center2
11,-0.5272228104169828,0.04873148736097965,center2,center2
12,-1.8064256552066762,0.6066123993485489,center1,center1
13,-1.343622226216682,0.46399355386986313,center1,center1
14,-0.9858472041324725,-0.5765057785271438,center2,center2
15,1.6532277396012318,-0.418815623020226,center0,center0
16,-0.8715827896556155,0.4221913670776499,center1,center2
17,-1.4998783318223983,-0.9636096498420861,center1,center1
18,1.133303397219618,0.22297352842456877,center0,center0
19,-1.3239353639041034,0.03150982239085431,center1,center1
20,-1.7944441612467805,0.10581095748895623,center1,center1
21,-1.490639708144938,0.03544258028498123,center1,center1
22,1.633077229609913,0.07751581514671564,center0,center0
23,1.6957412135701897,0.1783109276600221,center0,center0
24,1.6099553224008707,-0.042341407404492645,center0,center0
25,-1.389496701907817,-0.4141606429373487,center1,center1
26,-0.8021938852982056,-0.18167424374227478,center1,center2
27,1.5678242375691622,-0.30175610000619446,center0,center0
28,-0.83268184540369,0.009859053515786153,center1,center2
29,-2.431712195953909,0.21184655193822235,center1,center1
30,1.1744931115941717,-0.46986099617891597,center0,center0
31,1.171340501060391,0.4680566550756479,center2,center0
32,-0.00348852569460401,-0.4376394003990077,center2,center2
33,-1.5229066445190131,-0.026719611156020662,center1,center1
34,-0.9132005052728014,-0.25613609783102576,center2,center2
35,-1.8491922480557288,0.4562931793975411,center1,center1
36,-0.8230267178832912,-0.45353840607795903,center2,center2
37,1.5435518195275646,0.589561084742647,center0,center0
38,-0.35200803182322604,-0.4323180909066864,center2,center2
39,1.348960301591037,-0.27746352424109255,center0,center0
40,1.6316923709888138,-0.010913368273126778,center0,center0
41,-0.28220410938688634,-0.18010213195639244,center2,center2
42,1.3619012798676204,0.23927274376550065,center0,center0
43,1.877621437516753,-0.10544557738241164,center0,center0
44,-1.8071368735963504,-0.07938097767522395,center1,center1
45,-0.7282839032774541,0.2795130336849783,center1,center2
46,0.8702762307898515,-0.18525013093109113,center0,center0
47,-0.03241359470845474,0.19827692977767422,center2,center2
48,-1.536645470888164,-0.013641540283144979,center1,center1
49,-1.6921782757415988,-0.1794422949352708,center1,center1
50,0.08325232117945235,-0.45007353922252413,center2,center2
51,-1.2629019201729734,0.21949060531755082,center1,center1
52,-2.086356927930002,1.052863061754686,center1,center1
53,-1.788236041990123,0.014942133532653033,center1,center1
54,1.584086395273564,-0.23502085800269348,center0,center0
55,-1.4189900633846575,-0.3160741510966415,center1,center1
56,1.9633468556392861,0.23907778389699072,center0,center0
57,-0.6561021216845117,0.35154623308109195,center2,center2
58,2.2955070024815685,0.1015847327136112,center0,center0
59,-2.3234198098302166,0.18904353068633975,center1,center1
60,-1.8469374398270642,0.17388105691770003,center1,center1
